"Name","Runtime","Notes","Tags","AUC Precision Recall - DDR COTTON_WOOL_SPOT","AUC Precision Recall - DDR EXUDATES","AUC Precision Recall - DDR HEMORRHAGES","AUC Precision Recall - DDR MICROANEURYSMS","AUC Precision Recall - FGADR COTTON_WOOL_SPOT","AUC Precision Recall - FGADR EXUDATES","AUC Precision Recall - FGADR HEMORRHAGES","AUC Precision Recall - FGADR MICROANEURYSMS","AUC Precision Recall - IDRID COTTON_WOOL_SPOT","AUC Precision Recall - IDRID EXUDATES","AUC Precision Recall - IDRID HEMORRHAGES","AUC Precision Recall - IDRID MICROANEURYSMS","AUC Precision Recall - MESSIDOR COTTON_WOOL_SPOT","AUC Precision Recall - MESSIDOR EXUDATES","AUC Precision Recall - MESSIDOR HEMORRHAGES","AUC Precision Recall - MESSIDOR MICROANEURYSMS","AUC Precision Recall - RETLES COTTON_WOOL_SPOT","AUC Precision Recall - RETLES EXUDATES","AUC Precision Recall - RETLES HEMORRHAGES","AUC Precision Recall - RETLES MICROANEURYSMS","epoch","lr-AdamW","mIoU - DDR","mIoU - FGADR","mIoU - IDRID","mIoU - MESSIDOR","mIoU - RETLES","train_loss_epoch","train_loss_step","trainer/global_step","val_IoU COTTON_WOOL_SPOT","val_IoU EXUDATES","val_IoU HEMORRHAGES","val_IoU MICROANEURYSMS","val_loss","val_mIoU"
"fallen-grass-73","23546","-","FGADR, MESSIDOR","0.3972849249839782","0.48134875297546387","0.4375036060810089","0.32895347476005554","0.46277180314064026","0.6806206107139587","0.649899959564209","0.31384366750717163","0.5847645998001099","0.7276128530502319","0.5459387302398682","0.39911097288131714","0.1493876427412033","0.7597393989562988","0.5825169682502747","0.5290582180023193","0.37806180119514465","0.442992627620697","0.4703509509563446","0.2080523818731308","1200","0.000012845484980176171","0.3659107983112335","0.47697120904922485","0.4591183066368103","0.4798769950866699","0.28971168398857117","0.2452993541955948","0.22443360090255737","26400","0.23356536030769348","0.3292403519153595","0.24853934347629547","0.08897078782320023","0.5133664011955261","0.3764007985591888"
"apricot-firebrand-77","22591","-","FGADR","0.3816288113594055","0.40582603216171265","0.4306613504886627","0.07723128795623779","0.4358839094638825","0.6854522824287415","0.6478343605995178","0.3116031587123871","0.000922509585507214","0.6918944716453552","0.4410489499568939","0.15381565690040588","0.00022038618044462055","0.5783692002296448","0.4727502167224884","0.0006312052137218416","0.40594834089279175","0.48190319538116455","0.4925780296325683","0.37200284004211426","1250","0.0000010000118395774853","0.3168767988681793","0.4738910496234894","0.3298482298851013","0.28844374418258667","0.2553921043872833","0.22913263738155365","0.2213287055492401","25000","0.19254432618618011","0.3024335503578186","0.2500278353691101","0.03467712178826332","0.5632868409156799","0.3522893190383911"
"dainty-breeze-93","41030","-","FGADR, IDRID, RETLES","0.37552201747894287","0.4549527168273926","0.35285714268684387","0.2124815434217453","0.4593659043312073","0.67696213722229","0.6542686223983765","0.33541393280029297","0.6911425590515137","0.814123809337616","0.6889345049858093","0.41489291191101074","0.2480584979057312","0.4912044405937195","0.33502665162086487","0.22358065843582153","0.5269647836685181","0.6952165365219116","0.5325296521186829","0.4355322420597077","1250","0.000001000003279661416","0.2954005002975464","0.4832420349121094","0.5892695188522339","0.3490345776081085","0.4943103790283203","0.2683079242706299","0.3771791756153106","47500","0.2946593463420868","0.4109888970851898","0.30795052647590637","0.16299258172512054","0.4500287175178528","0.43090471625328064"
"hopeful-haze-81","22895","-","FGADR, IDRID","0.3690762221813202","0.4838228523731232","0.4701971709728241","0.21113312244415283","0.4671778380870819","0.7000277042388916","0.6425181031227112","0.26958033442497253","0.7113955020904541","0.8220870494842529","0.6846136450767517","0.41978833079338074","0.24098609387874603","0.6317075490951538","0.5027018189430237","0.4698558747768402","0.3740477561950683","0.474514901638031","0.45799973607063293","0.3226486146450043","1225","0.000004259143006612074","0.3842287063598633","0.47216957807540894","0.5945584774017334","0.40544021129608154","0.27776584029197693","0.24171797931194303","0.218879371881485","25725","0.27973058819770813","0.326326459646225","0.2797338664531708","0.06191817298531532","0.5105576515197754","0.3859486281871796"
"swept-blaze-72","20515","-","IDRID, RETLES","0.3535284698009491","0.4160134494304657","0.30127444863319397","0.18817856907844543","0.266265332698822","0.3248405158519745","0.3660169541835785","0.12429718673229218","0.6340530514717102","0.8231211304664612","0.6630175113677979","0.4047493040561676","0.23700018227100372","0.47629234194755554","0.3266473710536957","0.1729520857334137","0.5103170871734619","0.6986015439033508","0.5300816297531128","0.4341425895690918","1250","0.0000010000146167621895","0.29231512546539307","0.294382780790329","0.5662013292312622","0.3502996563911438","0.4894261062145233","0.23806725442409515","0.30087560415267944","22500","0.21834249794483185","0.23748324811458588","0.203825905919075","0.1101180911064148","0.5540556907653809","0.3457229733467102"
"giddy-cloud-75","40254","-","FGADR, RETLES","0.3438209891319275","0.4724211394786834","0.3617745041847229","0.2216041386127472","0.438457727432251","0.6841764450073242","0.6454620957374573","0.3259510397911072","0.351041704416275","0.5518728494644165","0.5371259450912476","0.1481776982545853","0.1757821887731552","0.5059444904327393","0.3131595253944397","0.23828935623168945","0.5222128629684448","0.7044727802276611","0.5342588424682617","0.42020827531814575","1250","0.000001000003459336065","0.28384703397750854","0.4788019061088562","0.2881644070148468","0.2907232940196991","0.4938857853412628","0.2682158052921295","0.37460488080978394","46250","0.26461124420166016","0.3858155906200409","0.3107544779777527","0.14763404428958893","0.47029539942741394","0.417016088962555"
"splendid-sea-98","34582","-","FGADR, MESSIDOR, RETLES","0.3375782072544098","0.46409329771995544","0.3651841878890991","0.23917226493358612","0.4333372116088867","0.6904413104057312","0.6438617706298828","0.3032773435115814","0.47402888536453247","0.5592582821846008","0.5341233015060425","0.17814721167087555","0.25582659244537354","0.7649088501930237","0.4562307596206665","0.4667436182498932","0.5276057720184326","0.7014524340629578","0.5403973460197449","0.41901201009750366","1025","0.00023577828295741625","0.2908920347690582","0.474456399679184","0.3238927125930786","0.4653460383415222","0.4943159222602844","0.27386632561683655","0.3222469687461853","39975","0.2797091007232666","0.39885976910591125","0.3198799192905426","0.15567970275878906","0.4576577842235565","0.4263002276420593"
"sandy-water-85","24519","-","FGADR, MESSIDOR","0.3249369263648987","0.4850290715694427","0.42634767293930054","0.3254436254501343","0.4416568577289582","0.6895220279693604","0.6525600552558899","0.311112642288208","0.5086469054222107","0.6722965836524963","0.5842633247375488","0.4089151918888092","0.31147077679634094","0.7691977620124817","0.5635426044464111","0.5324185490608215","0.36883097887039185","0.43400970101356506","0.4662155508995056","0.2108008861541748","1250","0.0000010000097847747015","0.35262173414230347","0.4769556522369385","0.4501283466815949","0.49823158979415894","0.2939133048057556","0.25705793499946594","0.324608713388443","27500","0.22959217429161072","0.3315489590167999","0.2800421714782715","0.08934114873409271","0.5156291723251343","0.3824656307697296"
"fearless-meadow-87","40217","-","FGADR, RETLES","0.3236735463142395","0.4701829254627228","0.3874054551124573","0.2208361178636551","0.4523827731609345","0.693845272064209","0.6507024168968201","0.3008769452571869","0.29729244112968445","0.5549675822257996","0.5375338792800903","0.1490795910358429","0.058916475623846054","0.5153558850288391","0.3379210829734802","0.24513216316699984","0.5262176394462585","0.6963584423065186","0.5490190982818604","0.42617911100387573","1250","0.000001000003459336065","0.2814990282058716","0.4799404442310333","0.28417980670928955","0.2849123775959015","0.49497321248054504","0.27032989263534546","0.4202256202697754","46250","0.2650771141052246","0.38418203592300415","0.3132342994213104","0.1482634395360947","0.4698001444339752","0.41740506887435913"
"still-oath-69","22429","-","FGADR, IDRID","0.32199785113334656","0.49515533447265625","0.4786677658557892","0.19289416074752808","0.4411190152168274","0.6932188868522644","0.6466968059539795","0.24923215806484225","0.7274874448776245","0.8247722387313843","0.6861340403556824","0.43891021609306335","0.2369956076145172","0.6308051943778992","0.4558956027030945","0.47703060507774353","0.33661505579948425","0.4787916839122772","0.4851965308189392","0.33611688017845154","1200","0.000012846508302605683","0.370612233877182","0.464514434337616","0.6033685207366943","0.3964725732803345","0.27603480219841003","0.2459828108549118","0.26626577973365784","25200","0.26837393641471863","0.3163723349571228","0.27622172236442566","0.05958159640431404","0.514337420463562","0.3805308938026428"
"warm-galaxy-95","13958","-","IDRID, MESSIDOR, RETLES","0.3167524039745331","0.42369139194488525","0.37869080901145935","0.1993570178747177","0.26391562819480896","0.22364075481891632","0.3526282012462616","0.08185066282749176","0.6579614877700806","0.7925650477409363","0.6443905830383301","0.3786289393901825","0.2945336401462555","0.7545849084854126","0.3824736773967743","0.46402978897094727","0.5036066174507141","0.691730260848999","0.5217782258987427","0.4180489182472229","775","0.0009486724379263684","0.2932248115539551","0.2819839417934418","0.5515233874320984","0.4536787271499634","0.4852646589279175","0.28680768609046936","0.24256139993667605","15500","0.223782479763031","0.2522816061973572","0.18337662518024445","0.11257565766572952","0.5524390339851379","0.34634727239608765"
"cosmic-frost-84","18888","-","IDRID, RETLES","0.3130026161670685","0.4414128065109253","0.3879786431789398","0.21402741968631744","0.28824520111083984","0.22612202167510984","0.2984178960323334","0.10050836205482484","0.6734070777893066","0.8218834400177002","0.674423098564148","0.4051860570907593","0.22391720116138455","0.5198861360549927","0.32430049777030945","0.186282217502594","0.5083713531494141","0.6921501159667969","0.525843620300293","0.4339854419231415","1150","0.000048161632171338486","0.28884994983673096","0.2831946015357971","0.5789451003074646","0.3560470938682556","0.4854918420314789","0.2395201027393341","0.23328661918640137","20700","0.2154870480298996","0.26261112093925476","0.201407790184021","0.08564350754022598","0.5555189251899719","0.34539663791656494"
"driven-wind-68","19743","-","RETLES","0.31072744727134705","0.4437263607978821","0.32825782895088196","0.21436987817287445","0.25259271264076233","0.2886062562465668","0.3075137436389923","0.11912880837917328","0.372829407453537","0.526796281337738","0.5356078743934631","0.15792891383171082","0.1909499615430832","0.5124169588088989","0.33955147862434387","0.24626436829566956","0.5078461766242981","0.6882708072662354","0.5147297978401184","0.4138198494911194","1250","0.000001000016386958445","0.27316930890083313","0.28427615761756897","0.28575360774993896","0.29352033138275146","0.4819639027118683","0.2548389732837677","0.38281798362731934","21250","0.20382843911647797","0.22984839975833893","0.1930340677499771","0.09433990716934204","0.5613244771957397","0.33612871170043945"
"floral-sun-80","17828","-","RETLES","0.2961249351501465","0.44572633504867554","0.351989209651947","0.21748805046081543","0.25392648577690125","0.3200584352016449","0.33889836072921753","0.15972770750522614","0.27504241466522217","0.5492877960205078","0.5263745784759521","0.1543511152267456","0.22868376970291135","0.5116934180259705","0.33246830105781555","0.24522125720977783","0.5133765339851379","0.6971405744552612","0.518185555934906","0.4192135632038117","1125","0.00007618240457927125","0.27512094378471375","0.28415653109550476","0.28318458795547485","0.3002071976661682","0.4855729937553406","0.25152307748794556","0.24846111238002777","19125","0.20767110586166385","0.21782906353473663","0.20274654030799863","0.08488425612449646","0.5705817341804504","0.3336508572101593"
